SMILES,IC50,Unit,Unit_Source,IC50-min,IC50-max
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC=C(C=C4)OCC5=CC=C(C=C5)C(=O)O)C=CC=C3C(F)(F)F,2738,nM,original,2738.0,2738.0
CN(CC1=CC=C(C=C1)CC(=O)O)C2=CC=CC(=C2)C3=C4C=CC=C(C4=NC=C3CC5=CC=CC=C5)C(F)(F)F,115,nM,original,115.0,115.0
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,5,nM,original,5.0,5.0
C1=CC=C(C=C1)C2=C3C=CC=C(C3=NC=C2C(=O)C4=CC=CC=C4)C(F)(F)F,107,nM,original,107.0,107.0
C[C@H]([C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N)NC(=O)C)O,1600,nM,original,1600.0,1600.0
C[C@H]([C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N)NC(=O)C)O,424,nM,original,424.0,424.0
C1=CC2=C(C(=C1)F)NC=C2CC3=CC4=C(N3)C=CC(=C4)F,201.7,nM,original,201.7,201.7
C1=CC=C2C(=C1)C=C(N2)CC3=CNC4=C3C=C(C=C4)Cl,10000,nM,original,10000.0,10000.0
CC1=CC2=C(C=C1)C(=CN2)CC3=CC4=CC=CC=C4N3,1400,nM,original,1400.0,1400.0
CC1=CC2=C(C=C1)NC=C2CC3=CC4=CC=CC=C4N3,5600,nM,original,5600.0,5600.0
