SMILES,EC50,EC50-min,EC50-max
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCCN5CCOCC5,796,796.0,796.0
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCCN5CCN(CC5)C,1023,1023.0,1023.0
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=C2C=CC(=C3)F)(C)C)C(=O)C4=CC=C(C=C4)OCCCN5CCOCC5,88,88.0,88.0
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=C2C=CC(=C3)F)(C)C)C(=O)C4=CC=C(C=C4)OCCN5CCOCC5,99,99.0,99.0
CN1[C@H]2CC[C@@H](O[C@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F)CC(=O)NC5CC6=CC=CC=C6C5,2030,2030.0,2030.0
CN1[C@H]2CC[C@@H](O[C@@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F)CC(=O)NC5CC6=CC=CC=C6C5,>25000,25000.0,50000.0
CN1[C@H]2CC[C@H](O[C@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F)CC(=O)NC5CC6=CC=CC=C6C5,230,230.0,230.0
CCOC(=O)C1=CN(CCC2=C1NC3=CC=CC=C23)C(=O)C4=CC=C(C=C4)F,600,600.0,600.0
CC(C)OC(=O)C1=CN(CCC2=C1NC3=CC=CC=C23)C(=O)C4=CC=C(C=C4)F,500,500.0,500.0
CCCOC(=O)C1=CN(CCC2=C1NC3=CC=CC=C23)C(=O)C4=CC=C(C=C4)F,500,500.0,500.0
CCCCOC(=O)C1=CN(CCC2=C1NC3=CC=CC=C23)C(=O)C4=CC=C(C=C4)F,1100,1100.0,1100.0
CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)C)C(=O)C4=CC=C(C=C4)F,57,57.0,57.0
CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)C)C(=O)C4=CC=C(C=C4)Cl,73,73.0,73.0
CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)C)C(=O)C4=CC=C(C=C4)OC,60,60.0,60.0
CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)C)C(=O)C4=CC(=C(C=C4)F)F,32,32.0,32.0
CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)F,22,22.0,22.0
CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=C(C=C4)F)F,12,12.0,12.0
CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)Cl,25,25.0,25.0
CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OC,29,29.0,29.0
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)F,8,8.0,8.0
CN1C=NC=C1C2=NC=C(N2C)C3=NC=C(N3C)C4=NC=C(N4C)C5=CC=CC=C5,6000,6000.0,6000.0
CC(C)(C)CC(=O)NC[C@@H]1CC[C@H]2[C@@H](O1)COC3=C(C=C(C=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F)C(=O)N2C,720,720.0,720.0
CN1[C@H]2CC[C@H](O[C@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F)CNC5=NN=C(O5)C6CCC6,320,320.0,320.0
CN1[C@H]2CC[C@H](O[C@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F)CNC(=O)[C@@H]5CCCO5,1100,1100.0,1100.0
CC(C)COC(=O)NC[C@@H]1CC[C@H]2[C@@H](O1)COC3=C(C=C(C=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F)C(=O)N2C,80,80.0,80.0
