SMILES,EC50,EC50-min,EC50-max
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCN=C(N)N)C(N)=O,680,680.0,680.0
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(N)=O)C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)[C@@H](C)O)C(C)C)[C@@H](C)O,>5000,5000.0,10000.0
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)[C@@H](C)O)C(C)C)[C@@H](C)O)C(C)C)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O,250,250.0,250.0
CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@@H](C(=O)NCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC1=O,106,106.0,106.0
CCNC(=O)[C@@H]1CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)N1,170,170.0,170.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccccc1,2000,2000.0,2000.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(CO)cc1,7600,7600.0,7600.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NCc1ccc2c(c1)OCO2,600,600.0,600.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(N)cc1,3800,3800.0,3800.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1cccc(O)c1,2000,2000.0,2000.0
CC(=O)Oc1ccc(C(=O)Nc2cc(NC(=O)CCC3CCCCC3)ccc2C)cc1,2500,2500.0,2500.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,1700,1700.0,1700.0
Cc1ccc2nc(-c3cc(NC(=O)CCC4CCCCC4)ccc3C)[nH]c2c1,1300,1300.0,1300.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1C(=O)Nc1ccc(O)cc1,7000,7000.0,7000.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccc(O)cc2[nH]1,700,700.0,700.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccccc2[nH]1,1300,1300.0,1300.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1cccnc1,1200,1200.0,1200.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1ccc2c(c1)OCO2,700,700.0,700.0
Cc1ccc(NC(=O)CCCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,4000,4000.0,4000.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1cccnc1,1000,1000.0,1000.0
Cc1ccc(C(=O)NCCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,2000,2000.0,2000.0
Cc1ccc(C(=O)CCCC2CCCCC2)cc1NC(=O)c1cccnc1,2000,2000.0,2000.0
CC1=CCC(C(=O)N=C2CC=C(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c32)=CC1=NC(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)N=C3CC(C(=O)N=C4CC=C(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c54)=CC=C3C)C2)C1,15000,15000.0,15000.0
O=C(Nc1ccc(C(=O)Nc2cccc(C(=O)Nc3cc(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)c2)cc1)Nc1ccc(C(=O)Nc2cccc(C(=O)Nc3cc(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)c2)cc1,17000,17000.0,17000.0
